n,stopping_time,max_excursion_log,odd_even_ratio,entropy,compression_ratio,excursion_normalized,up_down_ratio,variance_log,peak_late,omega,steps
24655,157.0,5.397315913588432,0.5339805825242718,0.9379626436434423,10.761095525824652,10.125329547759076,0.5339805825242718,1.1078806151119156,0.04430379746835443,STABLE,157
8273,158.0,4.394819274573398,0.5436893203883495,0.9414231081869789,12.140589688178986,3.0001208751359845,0.5436893203883495,0.6609616629150371,0.006289308176100629,STABLE,158
8274,96.0,4.7757487595112496,0.49230769230769234,0.925015873745592,7.3764619869900505,7.211505922165821,0.49230769230769234,1.3968028313888097,0.23711340206185566,STABLE,96
8270,96.0,4.497054109547331,0.49230769230769234,0.925015873745592,7.3768574194150895,3.7978234582829504,0.49230769230769234,1.143213848349504,0.1134020618556701,STABLE,96
8276,127.0,3.965342835560622,0.5238095238095238,0.9354557645575772,9.758183057400005,1.1155147414209763,0.5238095238095238,0.5866222679184296,0.7265625,STABLE,127
24660,38.0,4.392010683195499,0.3,0.8212809417449863,2.604544143633124,1.0,0.3,1.258494678177949,0.0,STABLE,38
84,9.0,1.9294189257142926,0.1111111111111111,0.7219280948873623,1.4079400950786438,1.0,0.1111111111111111,0.4496638227439132,0.0,STABLE,9
49241,96.0,5.220612727478202,0.4696969696969697,0.9148210087144519,6.158752452797345,3.3750736175138605,0.4696969696969697,1.6094514359730905,0.061855670103092786,STABLE,96
32858,41.0,4.692750007059422,0.3125,0.8296071030882031,2.732612461315876,1.5000304339886785,0.3125,1.7186438889957416,0.047619047619047616,STABLE,41
16476,40.0,4.444185372097158,0.3225806451612903,0.8390040613676977,2.855495152637477,1.6877882981306143,0.3225806451612903,1.542521886229228,0.17073170731707318,STABLE,40
16477,40.0,4.694016967812791,0.3225806451612903,0.8390040613676977,2.8554773038086365,3.0000606906597076,0.3225806451612903,1.6713340560282794,0.024390243902439025,STABLE,40
24672,38.0,4.392221958741192,0.3,0.8212809417449863,2.6044188537445643,1.0,0.3,1.15977033629532,0.0,STABLE,38
96,12.0,1.9867717342662448,0.18181818181818182,0.7793498372920853,1.8223338399703586,1.0,0.18181818181818182,0.31640793393690664,0.0,STABLE,12
24673,95.0,5.829546266629322,0.47692307692307695,0.9182958340544896,6.511021040538291,27.37307988489442,0.47692307692307695,2.588085658987133,0.3541666666666667,STABLE,95
103,87.0,3.965342835560622,0.543859649122807,0.9456603046006401,13.011290382212826,89.63106796116504,0.543859649122807,0.7124038441878413,0.6022727272727273,STABLE,87
8296,127.0,3.965342835560622,0.5238095238095238,0.9354557645575772,9.755572833077887,1.1128254580520733,0.5238095238095238,0.5763039905270765,0.7265625,STABLE,127
111,69.0,3.965342835560622,0.5217391304347826,0.9402859586706311,10.155398397340981,83.17117117117117,0.5217391304347826,0.8635820971386996,0.5,STABLE,69
24687,188.0,6.255710680135829,0.5491803278688525,0.9425073717594377,12.884245280775563,72.98643010491352,0.5491803278688525,1.828384184672992,0.15873015873015872,STABLE,188
24689,38.0,4.869636481314028,0.3,0.8212809417449863,2.6042414846249056,3.0000405038681195,0.3,1.7286749690737326,0.02564102564102564,STABLE,38
16496,40.0,4.217404974401542,0.3225806451612903,0.8390040613676977,2.8551384240640636,1.0,0.3225806451612903,1.3049121715091598,0.0,STABLE,40
41075,150.0,5.266798309410112,0.5252525252525253,0.9349520981652116,9.787306844604403,4.500060864272672,0.5252525252525253,0.9232492847348626,0.019867549668874173,STABLE,150
8308,65.0,3.919548758968848,0.43478260869565216,0.9023932827949788,4.992210039924497,1.0,0.43478260869565216,0.8531720993674305,0.0,STABLE,65
49269,158.0,5.169700878790452,0.5288461538461539,0.9360186160699067,10.13574679336799,3.000020296738314,0.5288461538461539,0.7525528082480597,0.006289308176100629,STABLE,158
41078,150.0,5.0169706961539395,0.5252525252525253,0.9349520981652116,9.787239557083794,2.5313793271337457,0.5252525252525253,0.9099492516845455,0.059602649006622516,STABLE,150
32886,191.0,4.920379025396492,0.5483870967741935,0.9421631690835511,12.7289325848694,2.5314115429057957,0.5483870967741935,0.8681389572524798,0.046875,STABLE,191
32888,41.0,4.619437706502988,0.3125,0.8296071030882031,2.7323726936539323,1.265872050595962,0.3125,1.8506633657106686,0.23809523809523808,STABLE,41
24696,113.0,4.495058433016688,0.5,0.9268190639645772,7.743974728572497,1.2659540006478782,0.5,0.7917575259434011,0.08771929824561403,STABLE,113
118,33.0,2.484299839346786,0.4166666666666667,0.9081783472997051,4.794669687695014,2.5762711864406778,0.4166666666666667,0.39949217877193743,0.2647058823529412,STABLE,33
49275,96.0,5.397002658942561,0.4696969696969697,0.9148210087144519,6.158359026651544,5.062607813292745,0.4696969696969697,2.2256765439656414,0.08247422680412371,STABLE,96
8316,52.0,4.499535877840699,0.39473684210526316,0.883585086105253,3.9933421639070263,3.7984607984607983,0.39473684210526316,1.7699324720119292,0.20754716981132076,STABLE,52
