d,k,c,n,omega,cycle_or_info
2,2,7,1493,CYCLIC,[np.int32(-7)]
2,2,7,1774,CYCLIC,[np.int32(-7)]
2,2,7,886,CYCLIC,[np.int32(-7)]
2,2,7,754,CYCLIC,[np.int32(-7)]
2,2,7,489,CYCLIC,[np.int32(-7)]
2,2,7,1498,CYCLIC,[np.int32(-7)]
2,2,7,1844,CYCLIC,[np.int32(-7)]
2,2,7,1612,CYCLIC,[np.int32(-7)]
2,2,7,472,CYCLIC,[np.int32(-7)]
2,2,7,1932,CYCLIC,[np.int32(-7)]
2,2,7,931,CYCLIC,[np.int32(-7)]
2,2,7,981,CYCLIC,[np.int32(-7)]
2,2,7,1955,CYCLIC,[np.int32(-7)]
2,2,7,624,CYCLIC,[np.int32(-7)]
2,2,7,467,CYCLIC,[np.int32(-7)]
2,2,7,1457,CYCLIC,[np.int32(-7)]
2,2,7,653,CYCLIC,[np.int32(-7)]
2,2,7,1949,CYCLIC,[np.int32(-7)]
2,2,7,826,CYCLIC,[np.int32(-7)]
2,2,7,1754,CYCLIC,[np.int32(-7)]
2,2,7,1505,CYCLIC,[np.int32(-7)]
2,2,7,1932,CYCLIC,[np.int32(-7)]
2,2,9,1163,CYCLIC,[np.int32(-9)]
2,2,9,1317,CYCLIC,[np.int32(-9)]
2,2,9,461,CYCLIC,[np.int32(-9)]
2,2,9,858,CYCLIC,[np.int32(-9)]
2,2,9,1725,CYCLIC,[np.int32(-9)]
2,2,9,559,CYCLIC,[np.int32(-9)]
2,2,9,419,CYCLIC,[np.int32(-9)]
2,2,9,1317,CYCLIC,[np.int32(-9)]
2,2,9,1081,CYCLIC,[np.int32(-9)]
2,2,9,930,CYCLIC,[np.int32(-9)]
2,2,9,759,CYCLIC,[np.int32(-9)]
2,2,9,285,CYCLIC,[np.int32(-9)]
2,2,9,1272,CYCLIC,[np.int32(-9)]
2,2,9,1025,CYCLIC,[np.int32(-9)]
2,2,9,1552,CYCLIC,[np.int32(-9)]
2,2,9,1777,CYCLIC,[np.int32(-9)]
2,2,9,393,CYCLIC,[np.int32(-9)]
2,2,9,1622,CYCLIC,[np.int32(-9)]
2,2,9,905,CYCLIC,[np.int32(-9)]
2,2,9,574,CYCLIC,[np.int32(-9)]
2,2,9,1465,CYCLIC,[np.int32(-9)]
2,2,9,1913,CYCLIC,[np.int32(-9)]
2,2,9,1151,CYCLIC,[np.int32(-9)]
2,2,9,958,CYCLIC,[np.int32(-9)]
2,2,9,870,CYCLIC,[np.int32(-9)]
2,2,9,26,CYCLIC,[np.int32(-9)]
2,2,9,460,CYCLIC,[np.int32(-9)]
2,2,9,723,CYCLIC,[np.int32(-9)]
2,2,9,443,CYCLIC,[np.int32(-9)]
2,2,9,223,CYCLIC,[np.int32(-9)]
2,2,9,1305,CYCLIC,[np.int32(-9)]
2,2,9,1518,CYCLIC,[np.int32(-9)]
2,2,9,117,CYCLIC,[np.int32(-9)]
2,2,9,1679,CYCLIC,[np.int32(-9)]
2,2,9,1434,CYCLIC,[np.int32(-9)]
2,2,9,1218,CYCLIC,[np.int32(-9)]
2,2,9,1766,CYCLIC,[np.int32(-9)]
2,2,9,446,CYCLIC,[np.int32(-9)]
2,2,9,76,CYCLIC,[np.int32(-9)]
2,2,9,1746,CYCLIC,[np.int32(-9)]
2,2,9,31,CYCLIC,[np.int32(-9)]
2,2,9,1062,CYCLIC,[np.int32(-9)]
2,2,9,839,CYCLIC,[np.int32(-9)]
2,2,9,1520,CYCLIC,[np.int32(-9)]
2,2,9,992,CYCLIC,[np.int32(-9)]
2,2,9,898,CYCLIC,[np.int32(-9)]
2,2,9,951,CYCLIC,[np.int32(-9)]
2,2,9,164,CYCLIC,[np.int32(-9)]
2,2,9,1916,CYCLIC,[np.int32(-9)]
2,2,9,285,CYCLIC,[np.int32(-9)]
2,2,9,665,CYCLIC,[np.int32(-9)]
2,2,9,1598,CYCLIC,[np.int32(-9)]
2,2,9,1547,CYCLIC,[np.int32(-9)]
2,2,9,1757,CYCLIC,[np.int32(-9)]
2,2,9,1782,CYCLIC,[np.int32(-9)]
2,2,9,68,CYCLIC,[np.int32(-9)]
2,2,9,448,CYCLIC,[np.int32(-9)]
2,2,9,289,CYCLIC,[np.int32(-9)]
2,2,9,891,CYCLIC,[np.int32(-9)]
2,2,9,262,CYCLIC,[np.int32(-9)]
2,2,9,117,CYCLIC,[np.int32(-9)]
2,2,9,1069,CYCLIC,[np.int32(-9)]
2,2,9,1909,CYCLIC,[np.int32(-9)]
2,2,9,1801,CYCLIC,[np.int32(-9)]
2,2,9,1548,CYCLIC,[np.int32(-9)]
2,2,9,1661,CYCLIC,[np.int32(-9)]
2,2,9,729,CYCLIC,[np.int32(-9)]
2,2,9,1118,CYCLIC,[np.int32(-9)]
2,2,9,949,CYCLIC,[np.int32(-9)]
2,2,9,885,CYCLIC,[np.int32(-9)]
2,2,9,269,CYCLIC,[np.int32(-9)]
2,2,9,1976,CYCLIC,[np.int32(-9)]
2,2,9,1109,CYCLIC,[np.int32(-9)]
2,2,9,1907,CYCLIC,[np.int32(-9)]
2,2,9,1325,CYCLIC,[np.int32(-9)]
2,2,9,812,CYCLIC,[np.int32(-9)]
2,2,9,383,CYCLIC,[np.int32(-9)]
