n,cluster,length,max_log,stopping_time,event_entropy,event_compression,peak_count,return_count,cycle_count,avg_run_length,max_run_length,up_ratio,unique_values,fractal_like
41075,4,151,5.266798309410112,150,1.5248218858561973,0.9932203389830508,2,143,0.0,1.006825938566553,3,0.17627118644067796,151,1.0
8308,0,66,3.919548758968848,65,1.4452458201097456,1.0,0,65,0.0,1.0,1,0.15384615384615385,66,1.0
49269,6,159,5.169700878790452,158,1.4953760035103312,0.9968253968253968,1,156,0.0,1.0031847133757963,2,0.1746031746031746,159,1.0
41078,4,151,5.0169706961539395,150,1.5412938084220331,0.9932659932659933,3,144,0.0,1.006779661016949,2,0.1750841750841751,151,1.0
32886,4,192,4.920379025396492,191,1.5332290782464604,0.9947089947089947,3,184,0.0,1.0053191489361701,2,0.17989417989417988,192,1.0
32888,0,42,4.619437706502988,41,1.4834484635648977,1.0,1,40,0.0,1.0,1,0.12195121951219512,42,1.0
24696,6,114,4.495058433016688,113,1.49714180060767,1.0,1,112,0.0,1.0,1,0.168141592920354,114,1.0
49275,2,97,5.397002658942561,96,1.604849701582666,0.9590643274853801,3,72,0.0,1.0426829268292683,2,0.18128654970760233,97,1.0
16515,4,191,5.281026545814859,190,1.5910679917325796,0.9774647887323944,5,160,0.0,1.0230547550432276,4,0.19154929577464788,191,1.0
49284,6,159,4.692714760890481,158,1.466180441988147,1.0,0,158,0.0,1.0,1,0.17405063291139242,159,1.0
32900,6,117,4.517209098189543,116,1.4605713158002727,1.0,0,116,0.0,1.0,1,0.16810344827586207,117,1.0
142,1,104,3.965342835560622,103,1.7664562943810305,0.8714285714285714,12,25,0.0,1.1475409836065573,4,0.2642857142857143,104,1.0
41102,2,76,5.471727254281126,75,1.6744236768625846,0.9548872180451128,5,53,0.0,1.047244094488189,3,0.17293233082706766,76,1.0
24721,5,96,4.898818391361433,95,1.549672029244313,0.9835164835164835,2,85,0.0,1.0167597765363128,2,0.17032967032967034,96,1.0
41106,2,76,5.22192778402015,75,1.6633666697161824,0.9708029197080292,5,57,0.0,1.0300751879699248,3,0.1678832116788321,76,1.0
41107,2,76,5.267136513909279,75,1.5889289904727526,0.9541984732824428,2,54,0.0,1.048,3,0.17557251908396945,76,1.0
16533,6,160,4.695490432339068,159,1.4970554733221115,0.9968454258675079,1,157,0.0,1.0031645569620253,2,0.17665615141955837,160,1.0
8342,6,128,4.2735336801512975,127,1.529737899749545,0.9960159362549801,2,122,0.0,1.004,2,0.1752988047808765,128,1.0
32919,5,42,5.3467616449341975,41,1.6119664409706873,0.9743589743589743,3,34,0.0,1.0263157894736843,3,0.1282051282051282,42,1.0
49309,6,159,5.170053321430143,158,1.5014481958953847,0.9967845659163987,1,152,0.0,1.0032258064516129,2,0.17684887459807075,159,1.0
16542,5,98,4.923000372247522,97,1.594602793073286,0.9894179894179894,4,88,0.0,1.0106951871657754,3,0.1693121693121693,98,1.0
41121,4,169,5.449313289619034,168,1.5905048228460887,0.9739413680781759,4,135,0.0,1.0267558528428093,3,0.19218241042345277,169,1.0
8353,2,89,4.831031077233856,88,1.6903236100920251,0.9379310344827586,5,52,0.0,1.0661764705882353,3,0.2,89,1.0
16547,4,160,4.871952193841888,159,1.5214094240948595,0.9936507936507937,2,154,0.0,1.0063897763578276,3,0.17777777777777778,160,1.0
41122,0,58,4.7901795690701485,57,1.4959805869001637,1.0,1,55,0.0,1.0,1,0.1415929203539823,58,1.0
24740,5,96,4.847998108625644,95,1.5750812443175874,0.9890710382513661,3,85,0.0,1.011049723756906,2,0.16939890710382513,96,1.0
32934,4,148,4.972188948141525,147,1.5544621493170685,0.9859154929577465,3,134,0.0,1.0142857142857142,2,0.1795774647887324,148,1.0
169,2,50,3.640779477344857,49,1.819983214755613,0.925,7,24,0.0,1.0810810810810811,4,0.2,50,1.0
32937,1,99,5.926435573253102,98,1.7147134668110757,0.9386503067484663,7,58,0.0,1.065359477124183,4,0.19631901840490798,99,1.0
8365,0,40,4.399621810671737,39,1.5082165942396846,0.9868421052631579,1,36,0.0,1.0133333333333334,2,0.13157894736842105,40,1.0
176,0,19,2.247973266361807,18,1.3821022532543101,1.0,0,18,0.0,1.0,1,0.1111111111111111,19,1.0
49335,3,146,6.079274247490616,145,1.6473549664788796,0.969811320754717,7,113,0.0,1.0311284046692606,5,0.18867924528301888,146,1.0
8376,6,128,3.965342835560622,127,1.4986038427452946,1.0,1,126,0.0,1.0,1,0.1732283464566929,128,1.0
186,0,19,2.44870631990508,18,1.5368739678294725,1.0,1,17,0.0,1.0,1,0.1111111111111111,19,1.0
