q,n_start,steps_to_graph,on_graph
890,58367519,0,True
891,58433055,0,True
892,58498591,0,True
893,58564127,0,True
894,58629663,0,True
895,58695199,0,True
896,58760735,0,True
897,58826271,0,True
898,58891807,0,True
899,58957343,0,True
900,59022879,0,True
901,59088415,0,True
902,59153951,0,True
903,59219487,0,True
904,59285023,0,True
905,59350559,0,True
906,59416095,0,True
907,59481631,0,True
908,59547167,0,True
909,59612703,0,True
910,59678239,0,True
911,59743775,0,True
912,59809311,0,True
913,59874847,0,True
914,59940383,0,True
915,60005919,0,True
916,60071455,0,True
917,60136991,0,True
918,60202527,0,True
919,60268063,0,True
920,60333599,0,True
921,60399135,0,True
922,60464671,0,True
923,60530207,0,True
924,60595743,0,True
925,60661279,0,True
926,60726815,0,True
927,60792351,0,True
928,60857887,0,True
929,60923423,0,True
930,60988959,0,True
931,61054495,0,True
932,61120031,0,True
933,61185567,0,True
934,61251103,0,True
935,61316639,0,True
936,61382175,0,True
937,61447711,0,True
938,61513247,0,True
939,61578783,0,True
940,61644319,0,True
941,61709855,0,True
942,61775391,0,True
943,61840927,0,True
944,61906463,0,True
945,61971999,0,True
946,62037535,0,True
947,62103071,0,True
948,62168607,0,True
949,62234143,0,True
950,62299679,0,True
951,62365215,0,True
952,62430751,0,True
953,62496287,0,True
954,62561823,0,True
955,62627359,0,True
956,62692895,0,True
957,62758431,0,True
958,62823967,0,True
959,62889503,0,True
960,62955039,0,True
961,63020575,0,True
962,63086111,0,True
963,63151647,0,True
964,63217183,0,True
965,63282719,0,True
966,63348255,0,True
967,63413791,0,True
968,63479327,0,True
969,63544863,0,True
970,63610399,0,True
971,63675935,0,True
972,63741471,0,True
973,63807007,0,True
974,63872543,0,True
975,63938079,0,True
976,64003615,0,True
977,64069151,0,True
978,64134687,0,True
979,64200223,0,True
980,64265759,0,True
981,64331295,0,True
982,64396831,0,True
983,64462367,0,True
984,64527903,0,True
985,64593439,0,True
986,64658975,0,True
987,64724511,0,True
988,64790047,0,True
989,64855583,0,True
990,64921119,0,True
991,64986655,0,True
992,65052191,0,True
993,65117727,0,True
994,65183263,0,True
995,65248799,0,True
996,65314335,0,True
997,65379871,0,True
998,65445407,0,True
999,65510943,0,True
1000,65576479,0,True
1001,65642015,0,True
1002,65707551,0,True
1003,65773087,0,True
1004,65838623,0,True
1005,65904159,0,True
1006,65969695,0,True
1007,66035231,0,True
1008,66100767,0,True
1009,66166303,0,True
1010,66231839,0,True
1011,66297375,0,True
1012,66362911,0,True
1013,66428447,0,True
1014,66493983,0,True
1015,66559519,0,True
1016,66625055,0,True
1017,66690591,0,True
1018,66756127,0,True
1019,66821663,0,True
1020,66887199,0,True
1021,66952735,0,True
1022,67018271,0,True
1023,67083807,0,True
1024,67149343,0,True
1025,67214879,0,True
1026,67280415,0,True
1027,67345951,0,True
1028,67411487,0,True
1029,67477023,0,True
1030,67542559,0,True
1031,67608095,0,True
1032,67673631,0,True
1033,67739167,0,True
1034,67804703,0,True
1035,67870239,0,True
1036,67935775,0,True
1037,68001311,0,True
1038,68066847,0,True
1039,68132383,0,True
1040,68197919,0,True
1041,68263455,0,True
1042,68328991,0,True
1043,68394527,0,True
1044,68460063,0,True
1045,68525599,0,True
1046,68591135,0,True
1047,68656671,0,True
1048,68722207,0,True
1049,68787743,0,True
1050,68853279,0,True
1051,68918815,0,True
1052,68984351,0,True
1053,69049887,0,True
1054,69115423,0,True
1055,69180959,0,True
1056,69246495,0,True
1057,69312031,0,True
1058,69377567,0,True
1059,69443103,0,True
1060,69508639,0,True
1061,69574175,0,True
1062,69639711,0,True
1063,69705247,0,True
1064,69770783,0,True
1065,69836319,0,True
1066,69901855,0,True
1067,69967391,0,True
1068,70032927,0,True
1069,70098463,0,True
1070,70163999,0,True
1071,70229535,0,True
1072,70295071,0,True
1073,70360607,0,True
1074,70426143,0,True
1075,70491679,0,True
1076,70557215,0,True
1077,70622751,0,True
1078,70688287,0,True
1079,70753823,0,True
1080,70819359,0,True
1081,70884895,0,True
1082,70950431,0,True
1083,71015967,0,True
1084,71081503,0,True
1085,71147039,0,True
1086,71212575,0,True
1087,71278111,0,True
1088,71343647,0,True
1089,71409183,0,True
1090,71474719,0,True
1091,71540255,0,True
1092,71605791,0,True
1093,71671327,0,True
1094,71736863,0,True
1095,71802399,0,True
1096,71867935,0,True
1097,71933471,0,True
1098,71999007,0,True
1099,72064543,0,True
1100,72130079,0,True
1101,72195615,0,True
