r,v,initial_rank,n_start,escaped,escape_steps,final_rank
434,1,25,65970,True,42,24
434,1,25,131506,True,1,24
436,2,113,436,True,1,112
436,2,113,65972,True,19,78
436,2,113,131508,True,1,112
438,1,51,438,True,1,50
438,1,51,65974,True,5,50
438,1,51,131510,True,1,50
440,3,113,440,True,1,112
440,3,113,65976,True,19,78
440,3,113,131512,True,1,112
442,1,113,442,True,1,112
442,1,113,65978,True,1,66
442,1,113,131514,True,1,112
444,2,69,444,True,1,68
444,2,69,65980,True,26,68
444,2,69,131516,True,1,68
446,1,69,446,True,1,68
446,1,69,65982,True,26,68
446,1,69,131518,True,1,68
448,3,20,448,True,1,19
448,3,20,65984,True,21,19
448,3,20,131520,True,1,19
450,1,51,450,True,1,50
450,1,51,65986,True,31,50
450,1,51,131522,True,1,50
452,2,12,452,True,1,11
452,2,12,65988,True,117,11
452,2,12,131524,True,1,11
454,1,12,454,True,1,11
454,1,12,65990,True,117,11
454,1,12,131526,True,1,11
456,3,33,456,True,1,32
456,3,33,65992,True,34,32
456,3,33,131528,True,1,32
458,1,33,458,True,1,32
458,1,33,65994,True,34,32
458,1,33,131530,True,1,32
460,2,33,460,True,1,32
460,2,33,65996,True,34,32
460,2,33,131532,True,1,32
462,1,126,462,True,1,125
462,1,126,65998,True,7,22
462,1,126,131534,True,1,125
464,3,20,464,True,1,19
464,3,20,66000,True,21,19
464,3,20,131536,True,1,19
466,1,82,466,True,1,81
466,1,82,66002,True,2,81
466,1,82,131538,True,1,81
468,2,20,468,True,1,19
468,2,20,66004,True,21,19
468,2,20,131540,True,1,19
470,1,126,470,True,1,125
470,1,126,66006,True,1,66
470,1,126,131542,True,1,125
472,3,33,472,True,1,32
472,3,33,66008,True,34,32
472,3,33,131544,True,1,32
474,1,33,474,True,1,32
474,1,33,66010,True,34,32
474,1,33,131546,True,1,32
476,2,33,476,True,1,32
476,2,33,66012,True,6,30
476,2,33,131548,True,1,32
478,1,51,478,True,1,50
478,1,51,66014,True,18,50
478,1,51,131550,True,1,50
480,3,20,480,True,1,19
480,3,20,66016,True,21,19
480,3,20,131552,True,1,19
482,1,20,482,True,1,19
482,1,20,66018,True,21,19
482,1,20,131554,True,1,19
484,2,95,484,True,1,94
484,2,95,66020,True,1,65
484,2,95,131556,True,1,94
486,1,95,486,True,1,94
486,1,95,66022,True,1,48
486,1,95,131558,True,1,94
488,3,20,488,True,1,19
488,3,20,66024,True,21,19
488,3,20,131560,True,1,19
490,1,20,490,True,1,19
490,1,20,66026,True,21,19
490,1,20,131562,True,1,19
492,2,46,492,True,1,45
492,2,46,66028,True,19,45
492,2,46,131564,True,1,45
494,1,46,494,True,1,45
494,1,46,66030,True,19,45
494,1,46,131566,True,1,45
496,3,108,496,True,1,107
496,3,108,66032,True,1,93
496,3,108,131568,True,1,107
498,1,46,498,True,1,45
498,1,46,66034,True,21,43
498,1,46,131570,True,1,45
500,2,108,500,True,1,107
500,2,108,66036,True,1,93
500,2,108,131572,True,1,107
502,1,64,502,True,1,63
502,1,64,66038,True,1,33
502,1,64,131574,True,1,63
504,3,108,504,True,1,107
504,3,108,66040,True,11,50
504,3,108,131576,True,1,107
506,1,108,506,True,1,107
506,1,108,66042,True,11,50
506,1,108,131578,True,1,107
508,2,46,508,True,1,45
508,2,46,66044,True,1,43
508,2,46,131580,True,1,45
510,1,46,510,True,1,45
510,1,46,66046,True,7,43
510,1,46,131582,True,1,45
512,3,7,512,True,1,6
512,3,7,66048,True,122,6
512,3,7,131584,True,1,6
514,1,121,514,True,1,120
514,1,121,66050,True,1,66
514,1,121,131586,True,1,120
516,2,121,516,True,1,120
516,2,121,66052,True,1,78
516,2,121,131588,True,1,120
518,1,121,518,True,1,120
518,1,121,66054,True,1,66
518,1,121,131590,True,1,120
520,3,28,520,True,1,27
520,3,28,66056,True,163,27
520,3,28,131592,True,1,27
522,1,28,522,True,1,27
522,1,28,66058,True,163,27
522,1,28,131594,True,1,27
524,2,28,524,True,1,27
524,2,28,66060,True,163,27
524,2,28,131596,True,1,27
526,1,77,526,True,1,76
526,1,77,66062,True,7,35
526,1,77,131598,True,1,76
528,3,28,528,True,1,27
528,3,28,66064,True,163,27
528,3,28,131600,True,1,27
530,1,121,530,True,1,120
530,1,121,66066,True,1,66
530,1,121,131602,True,1,120
532,2,28,532,True,1,27
532,2,28,66068,True,163,27
532,2,28,131604,True,1,27
534,1,20,534,True,1,19
534,1,20,66070,True,21,19
534,1,20,131606,True,1,19
536,3,28,536,True,1,27
536,3,28,66072,True,163,27
536,3,28,131608,True,1,27
538,1,28,538,True,1,27
538,1,28,66074,True,163,27
538,1,28,131610,True,1,27
540,2,41,540,True,1,40
540,2,41,66076,True,8,40
540,2,41,131612,True,1,40
542,1,41,542,True,1,40
542,1,41,66078,True,9,39
542,1,41,131614,True,1,40
544,3,15,544,True,1,14
544,3,15,66080,True,114,14
544,3,15,131616,True,1,14
546,1,28,546,True,1,27
546,1,28,66082,True,163,27
546,1,28,131618,True,1,27
548,2,90,548,True,1,89
548,2,90,66084,True,1,47
548,2,90,131620,True,1,89
550,1,90,550,True,1,89
550,1,90,66086,True,3,52
550,1,90,131622,True,1,89
552,3,15,552,True,1,14
552,3,15,66088,True,114,14
552,3,15,131624,True,1,14
