r,v
4332,2
4334,1
4336,3
4338,1
4340,2
4342,1
4344,3
4346,1
4348,2
4350,1
4352,3
4354,1
4356,2
4358,1
4360,3
4362,1
4364,2
4366,1
4368,3
4370,1
4372,2
4374,1
4376,3
4378,1
4380,2
4382,1
4384,3
4386,1
4388,2
4390,1
4392,3
4394,1
4396,2
4398,1
4400,3
4402,1
4404,2
4406,1
4408,3
4410,1
4412,2
4414,1
4416,3
4418,1
4420,2
4422,1
4424,3
4426,1
4428,2
4430,1
4432,3
4434,1
4436,2
4438,1
4440,3
4442,1
4444,2
4446,1
4448,3
4450,1
4452,2
4454,1
4456,3
4458,1
4460,2
4462,1
4464,3
4466,1
4468,2
4470,1
4472,3
4474,1
4476,2
4478,1
4480,3
4482,1
4484,2
4486,1
4488,3
4490,1
4492,2
4494,1
4496,3
4498,1
4500,2
4502,1
4504,3
4506,1
4508,2
4510,1
4512,3
4514,1
4516,2
4518,1
4520,3
4522,1
4524,2
4526,1
4528,3
4530,1
4532,2
4534,1
4536,3
4538,1
4540,2
4542,1
4544,3
4546,1
4548,2
4550,1
4552,3
4554,1
4556,2
4558,1
4560,3
4562,1
4564,2
4566,1
4568,3
4570,1
4572,2
4574,1
4576,3
4578,1
4580,2
4582,1
4584,3
4586,1
4588,2
4590,1
4592,3
4594,1
4596,2
4598,1
4600,3
4602,1
4604,2
4606,1
4608,3
4610,1
4612,2
4614,1
4616,3
4618,1
4620,2
4622,1
4624,3
4626,1
4628,2
4630,1
4632,3
4634,1
4636,2
4638,1
4640,3
4642,1
4644,2
4646,1
4648,3
4650,1
4652,2
4654,1
4656,3
4658,1
4660,2
4662,1
4664,3
4666,1
4668,2
4670,1
4672,3
4674,1
4676,2
4678,1
4680,3
4682,1
4684,2
4686,1
4688,3
4690,1
4692,2
4694,1
4696,3
4698,1
4700,2
4702,1
4704,3
4706,1
4708,2
4710,1
4712,3
4714,1
4716,2
4718,1
4720,3
4722,1
4724,2
4726,1
4728,3
4730,1
4732,2
4734,1
4736,3
4738,1
4740,2
4742,1
4744,3
4746,1
4748,2
4750,1
4752,3
4754,1
4756,2
4758,1
4760,3
4762,1
4764,2
4766,1
4768,3
4770,1
4772,2
4774,1
4776,3
4778,1
4780,2
4782,1
4784,3
4786,1
4788,2
4790,1
4792,3
4794,1
4796,2
4798,1
4800,3
4802,1
4804,2
4806,1
4808,3
4810,1
4812,2
4814,1
4816,3
4818,1
4820,2
4822,1
4824,3
4826,1
